element_id,field_text,field_category,Predicted
225320,default,unknown,unknown
225319,default,unknown,unknown
225318,default,unknown,unknown
225317,,unknown,unknown
225316,default,unknown,unknown
225314,default,unknown,unknown
225313,,unknown,unknown
225312,,unknown,unknown
225308,default,unknown,unknown
225303,default,unknown,unknown
225298,,unknown,unknown
225287,More tools,unknown,unknown
225286,Enter your tracking number here,unknown,ssn
225273,Como posso te ajudar?,unknown,unknown
225272,Assunto,unknown,unknown
225270,- A ims,unknown,unknown
225269,Nome,unknown,unknown
225268,O que você deseja pesquisar?,unknown,unknown
225257,Como posso te ajudar?,unknown,unknown
225256,Assunto,unknown,unknown
225254,- A ims,unknown,unknown
225253,Nome,unknown,unknown
225252,O que você deseja pesquisar?,unknown,unknown
225247,Como posso te ajudar?,unknown,unknown
225246,Assunto,unknown,unknown
225244,- A ims,unknown,unknown
225243,Nome,unknown,unknown
225242,O que você deseja pesquisar?,unknown,unknown
225241,eo) alg.),unknown,unknown
225240,agncia,unknown,unknown
225239,Py,unknown,unknown
225238,Py,unknown,unknown
225237,Py,unknown,unknown
225236,conta,unknown,unknown
225235,agncia,unknown,unknown
225234,Öffentliche Nachricht...,unknown,unknown
225233,"Models, Länder, Trinkgeld-Menü",unknown,unknown
225232,eo) alg.),unknown,unknown
225231,agncia,unknown,unknown
225230,Py,unknown,unknown
225229,Py,unknown,unknown
225228,Py,unknown,unknown
225227,conta,unknown,unknown
225226,agncia,unknown,unknown
225225,Public message...,unknown,unknown
225224,Tokens,unknown,unknown
225223,"Models, categories, countries, tip menu",unknown,unknown
225222,Confirma Senha,unknown,unknown
225221,Senha Nova:,unknown,unknown
225215,eo) alg.),unknown,unknown
225214,agncia,unknown,unknown
225199,CANCEL,unknown,unknown
225193,CANCEL,unknown,unknown
225185,CANCEL,unknown,unknown
225178,LOG IN,unknown,unknown
225176,User ID,unknown,name
225175,,unknown,unknown
225173,LOG IN,unknown,unknown
225171,User ID,unknown,name
225168,11183,unknown,unknown
225167,AX ( FT),unknown,unknown
225166,,unknown,unknown
225165,11183,unknown,unknown
225164,AX ( FT),unknown,unknown
225163,,unknown,unknown
225162,11183,unknown,unknown
225161,PLR ( FT),unknown,unknown
225160,,unknown,unknown
225159,"Won, Especially tO repay a loan O}",unknown,unknown
225157,Go,unknown,unknown
225156,Go,unknown,unknown
225154,11183,unknown,unknown
225153,AX ( FT),unknown,unknown
225152,,unknown,unknown
225148,Correo,unknown,unknown
225147,user,unknown,name
225145,"Won, Especially tO repay a loan O}",unknown,unknown
225143,Go,unknown,unknown
225142,Go,unknown,unknown
225133,Correo,unknown,unknown
225132,,unknown,unknown
225124,Correo,unknown,unknown
225116,default,unknown,unknown
225115,default,unknown,unknown
225114,,unknown,unknown
225092,(function() {,unknown,unknown
225090,Max price,unknown,unknown
225089,Min price,unknown,unknown
225078,(function() {,unknown,unknown
225076,Max price,unknown,unknown
225075,Min price,unknown,unknown
225061,(function() {,unknown,unknown
225059,Max price,unknown,unknown
225058,Min price,unknown,unknown
225047,(function() {,unknown,unknown
225045,Max price,unknown,unknown
225044,Min price,unknown,unknown
225036,(function() {,unknown,unknown
225029,Assunto,unknown,unknown
225028,Telefone,unknown,unknown
225026,Nome,unknown,unknown
225020,0.0214 BTC,unknown,unknown
225017,0.0214 BTC,unknown,unknown
225015,Assunto,unknown,unknown
225014,Telefone,unknown,unknown
225012,Nome,unknown,unknown
224999,VALCUO,unknown,unknown
224996,default,unknown,unknown
224992,default,unknown,unknown
224990,default,unknown,unknown
224985,identifier-captcha-input,unknown,zip
224982,,unknown,unknown
224977,Filter,unknown,unknown
224975,default,unknown,unknown
224974,,unknown,unknown
224970,Make an offer,unknown,unknown
224969,Make an offer,unknown,unknown
224966,Make an offer,unknown,unknown
224964,wi we ae wnt ta Nee,unknown,unknown
224963,ll,unknown,unknown
224962,SobrenomeEste campo é obrigatório.,unknown,unknown
224961,Nome *,unknown,unknown
224960,Make an offer,unknown,unknown
224958,Make an offer,unknown,unknown
224955,Telefone (com DDD),unknown,unknown
224954,Yv,unknown,unknown
224953,Sobrenome,unknown,unknown
224952,Nome *,unknown,unknown
224950,Make an offer,unknown,unknown
224948,Website,unknown,unknown
224947,wi we ae wnt ta Nee,unknown,unknown
224946,ll,unknown,unknown
224945,SobrenomeEste campo é obrigatório.,unknown,unknown
224944,Nome *,unknown,unknown
224940,Website,unknown,unknown
224939,wpforms-6-field_5,unknown,unknown
224937,itccmtne maHtarrArAfr,unknown,unknown
224936,Nome,unknown,unknown
224933, ),unknown,unknown
224932, ),unknown,unknown
224931, ),unknown,unknown
224930, ),unknown,unknown
224927,default,unknown,unknown
224926, ),unknown,unknown
224925, ),unknown,unknown
224922,My offer in USD,unknown,unknown
224921, ),unknown,unknown
224920, ),unknown,unknown
224919, ),unknown,unknown
224918, ),unknown,unknown
224917,My offer in USD,unknown,unknown
224916, ),unknown,unknown
224915, ),unknown,unknown
224914,default,unknown,unknown
224910,My offer in USD,unknown,unknown
224909, ),unknown,unknown
224908, ),unknown,unknown
224907,,unknown,unknown
224906,My offer in USD,unknown,unknown
224905, ),unknown,unknown
224904, ),unknown,unknown
224902,My offer in USD,unknown,unknown
224901, ),unknown,unknown
224900, ),unknown,unknown
224895,My offer in USD,unknown,unknown
224894, ),unknown,unknown
224893, ),unknown,unknown
224890,default,unknown,unknown
224889,s,unknown,unknown
224887,s,unknown,unknown
224882,default,unknown,unknown
224859,rue ME ea,unknown,unknown
224858,,unknown,unknown
224849,s,unknown,unknown
224834,default,unknown,unknown
224831,default,unknown,unknown
224828,,unknown,unknown
224810,Buscar …,unknown,unknown
224809,Buscar …,unknown,unknown
224808,Buscar …,unknown,unknown
224806,Buscar …,unknown,unknown
224804,Buscar …,unknown,unknown
224792,,unknown,unknown
224776,rcmloginuser,unknown,name
224736,60.6,unknown,unknown
224735,LINEA (20),unknown,unknown
224734,SWARANCJA ZWROTU PIENIEDZY SZYBKA DOS,unknown,unknown
224732,Vf,unknown,unknown
224728,60.6,unknown,unknown
224727,LINEA (20),unknown,unknown
224726,SWARANCJA ZWROTU PIENIEDZY SZYBKA DOS,unknown,unknown
224724,Vf,unknown,unknown
