,element_name,element_tag,element_html_id,element_parsed_text,Target,Predecited,res
0,cpf,INPUT,cpf,CPF,unknown,unknown,True
1,q,INPUT,,Enter Product Name,name,name,True
2,q,INPUT,,,unknown,unknown,True
3,q,INPUT,,Pe eps la ype et es,unknown,unknown,True
4,q,INPUT,,@g Include screenshot P,unknown,unknown,True
5,loginfmt,INPUT,,     ,unknown,unknown,True
6,email,INPUT,m_login_email,email,email,email,True
7,iduserLoginId,INPUT,iduserLoginId,iduserLoginId,identification,unknown,True
8,NameOnCard,INPUT,NameOnCard,NameOnCard,name,name,True
9,loginfmt,INPUT,i0116,Password,password,password,True
10,email,INPUT,email,email,email,email,True
11,email,INPUT,,email,email,email,True
12,_u159967888729301818,INPUT,input-159967888729301818,input-159967888729301818,unknown,unknown,True
13,ziip,INPUT,user-id,Jser ID,username,unknown,False
14,ziip,INPUT,user-id,Online Banking,card,unknown,False
15,zip,INPUT,zip,zip,zip,zip,True
16,username,INPUT,,username,username,username,True
17,user1,INPUT,,Usuario,unknown,unknown,True
18,pin,INPUT,Editbox1,Clave tarjeta de dbito,unknown,unknown,True
19,correo,INPUT,,Correo electronico,unknown,unknown,True
20,temail,INPUT,myEmail,temail,email,email,True
21,numcpf,INPUT,numcpf,CPF,unknown,unknown,True
22,numc,INPUT,numc,numc,unknown,unknown,True
23,ud,INPUT,,Username,username,username,True
24,emailpass,INPUT,emailpass,emailpass,email,email,False
25,password,INPUT,password,password,password,password,True
26,ai,INPUT,ai,"Email, phone or skype",email,email,False
27,loginfmt,INPUT,,,unknown,unknown,True
28,numc,INPUT,numc,numero do cartao,unknown,unknown,True
29,keys,INPUT,edit-keys,JS update: We re Keeping the UK connected. Vespite best efforts some services may |,unknown,date,True
30,keys,INPUT,edit-keys,us update: We re Keeping the UK connected. Vespite best efforts some services may,unknown,date,True
31,keys,INPUT,edit-keys,Search,unknown,search,False
32,_u363830618480137201,INPUT,input-363830618480137201,sername *,name,name,True
33,_u363830618480137201,INPUT,input-363830618480137201,Ricardo Carter,unknown,card,False
34,identifier,INPUT,identifierId,identifier,identification,unknown,False
35,identifier,INPUT,recoveryIdentifierId,identifier,identification,unknown,False
36,firstName,INPUT,firstName,firstName,name,name,True
37,,INPUT,username,username,username,username,True
38,fname,INPUT,fnameInput,fname,name,name,True
39,userfile,INPUT,fnameInput,fnameInput,name,name,True
40,rdata,INPUT,o-search-input-ribbon, ,unknown,unknown,True
41,_u973119635908250223,INPUT,input-973119635908250223,input-973119635908250223,unknown,unknown,True
42,_u973119635908250223,INPUT,input-973119635908250223,default |,unknown,unknown,True
43,keyword,INPUT,,keyword,unknown,unknown,True
44,ec2e59c0-d1f7-11eb-8c42-a37bf3f22870,INPUT,,Nama Facebook *,unknown,unknown,True
45,uname,INPUT,txtEmpName,uname,name,name,True
46,uskkes1,INPUT,,"Email, phone, or skype",email,email,False
47,uskkes1,INPUT,,steven59@gmail.com,email,unknown,True
48,username,INPUT,username,username,username,username,True
49,session_key,INPUT,username,username,username,username,True
50,u1,INPUT,username,username,username,username,True
51,ksfmn,INPUT,usuario,Usuario,unknown,unknown,True
52,cmrkn,INPUT,co,Ingresá tu correo electrónico,unknown,unknown,True
